index,id,text,label_mean,disputable_post,target
0,991dbab436b54d9b829df42f002748a1,"Now the blacks not only want welfare, free college, free healthcare, free housing, free food, free clothes, free transportation, free tampons, but they want the white manֳ¢ֲ€ֲ™s money. Wake up and smell the dog shit. If you worked as hard at getting a job as you do to get everything for nothing, you would have everything mentioned above and be proud you earned it. At this point you have not earned it, sorry. This is all about the angry black Congress. You know the ones I mean. And the Cripster Lazy Al Sharptonֳ°ֲֲ˜ֲ¬ֳ°ֲֲֲ¸",5,FALSE,African
1,2120be390d02480ba91a41c6cc99d621,LISTENING TO CHUCKIE AND PELOSI ABOYT ISIS ! I SAY BOMB THE DAMN PRISONS KILL EVER SINGLE ONE OF THEM! ITS NOT LIKE THEY ARE HUMANS !,5,FALSE,Politician
2,06105fc7f89c4488a585c5c2c6813e85,"Chuck Schumer: ֳ¢ֲ€ֲ˜Weֳ¢ֲ€ֲ™re Nothing If Weֳ¢ֲ€ֲ™re Not a Nation of Immigrantsֳ¢ֲ€ֲ™

Kill them all",5,FALSE,African
3,de6c9ee12daf48c5b68d5be4572e18e9,"I hate Muslims. I hate democrats, they are the first targets",5,FALSE,Islam
4,10f9d6ff0aa045b9bb2e39d0d0e8afcb,HER AND THE BLM CAN GO TO HELL THEY ARE A TERRORIST MOB AND THEY ARE CRIMINALS AND RACIST PUPPETS,5,FALSE,African
5,c00cc34e631e48a79339798a3d52d46e,Around blacks never relax,5,FALSE,African
6,eb3c42890a66497790b4d933372645cd,If these morons that are in Congress then our courts like that piece of shit judge in Pennsylvania Obama pick Criminal Nazi. I think weֳ¢ֲ€ֲ™re going to sit back after seeing Arizona Pennsylvania Georgia Michigan Wisconsin Nevada all showing fraudulent votes in our face. Then seeing them call California Washington state and Oregon for Joe Biden before the polls were even open November 3 and then youֳ¢ֲ€ֲ™re sadly mistaken. Take our country back from these corrupt Nazi criminals who been selling out our country and put them in prison for treason then Execute them Iֳ¢ֲ€ֲ™ve had enough of this takeover of our freedoms we also have the a Chinese military They will call peacekeepers in Canada waiting for this piece of shit to be called president is that what you want,5,FALSE,Politician
7,fbe698b737d44d7face8d4c3fc27d1c3,"Fuck you DNC and all of your lies, your treachery, your treasonous acts and all of your political special interest bullshit !!",5,FALSE,Politician
8,962376cfcc504a79bed3ec639ef6b493,"BIDEN CALLED US BROWN SHIRT NAZIS, OUR PRESIDENT HITLER AND HE NOW WANTS TO UNITE THE COUNTRY .",5,FALSE,Politician
9,0c360474c6624e69835aea7e4f001c5d,They openly admit to get rid of all Republicans!! We need to go after these guys to eliminate targeting of our people and party. Letֳ¢ֲ€ֲ™s take their asses down!!!,5,FALSE,Politician
10,b6e2482474784055b379027d779c90c1,Everything I have seen and read amounts to treason by biden and his cronies. My son says the USA shouldn't waste a bullet and 'hang em high',5,FALSE,Politician
11,c189d6fe49d84b86b54b412852e78b2c,Oh the ֳ¢ֲ€ֲ wonderful ֳ¢ֲ€ֲ life of homosexuals ֳ°ֲֲ˜ֲ³ֳ°ֲֲ˜ֲ³....they driven by perverse ֳ¢ֲ€ֲ love ֳ¢ֲ€ֲ ֳ°ֲֲ˜ֲ¡ֳ°ֲֲ˜ֲ¡and will destroy all before them,5,FALSE,Homosexual
12,5a2f452b3a404d59bf635926ae6f5018,"Adam Shiff and Ed Buck are sexual predators and murderers of young black boys while luring them into their drug and sex dens and drugging them until they pass out so Adam and Ed can rape them. Why is Adam Shiff still in Congress and why are these two sexual predators still on the streets luring young black boys. Justice needs to be served for the families of the young black boys that has lost their lives to these per vets. Adam Shiff has countlessly said that nobody is above the law, this is my opinion but the evidence is on the internet. Youֳ¢ֲ€ֲ™re a sick bastard Adam!",5,FALSE,Politician
13,4674a98ec53b4d6fb132a51b97e58299,I know how to stop election fraud! Start hanging traitors for treason (through legal process) and how much you wanna bet!? No one would dare try to pull this f$&kery again! We should start with the Sec of state of GA! He is a total disgrace! A pos maggot subhuman bottom feeding parasite like many gop. He saying there is nothing to see with a smoking gun video highlights his guilt! He better lawyer up! #gitmo then #gallows,5,FALSE,other
14,f3951d3693a14776b7929a98263661c6,Not shocking. This nasty pos smoked pot as DA. Yet hung ever joint smoker that came across her desk. Putting them in jail. Laughing about it JUST LIKE HILLARY DID on hidden mic. About getting the 45 yr old rapist off. After abducting and raping a 14 yr old in the back of a van... The woman committed suicide when Bill & Hillary lied their way into the WH by trafficking Tons of drugs and thousands of childern while Billary was AK Governor...,5,FALSE,Politician
15,57325ad639d349d3bb1292f35b50c948,The Democrat Party runs the corrupt MSM. MSM is the enemy of our Constitution & thus The Democrat Party is also the enemy of the American people. #WalkAway #KAG,5,FALSE,Politician
16,13681503c43f424e8e0dea731ef3e9b4,Outcry over Louis Farrakhan Rant Calling Prominent Jews Including Alan Dershowitz 'Satan',5,FALSE,Jewish
17,efed69c9af9e46e49a8e8efa42a2b91d,These Communist dictator governors are stomping and peeing and shiting all over your constitution you people need to wake up and read it!,5,FALSE,Politician
18,0625f7b85d854cb3a2a0157a7652e941,Everyone of you politicians that are showing your ass right now both sides communists and republicans you are all on notice the American people are fucking sick and tired of all of your shit!! Yֳ¢ֲ€ֲ™all will be lucky to serve out your terms with all of your corruption that is coming to light! We will never forget we will never kneel we will never cower we will NEVER stop fighting for our kids grandkids but most importantly the country we love!!! So if yֳ¢ֲ€ֲ™all want civil war just keep your shit up because wether you like it or not itֳ¢ֲ€ֲ™s coming and yֳ¢ֲ€ֲ™all have no one covering your back but we the true Americans we have fucking millions and millions ready willing and able!!!,5,FALSE,Politician
19,9762145dffdb47f9ad8a6e1f1fd30d02,"It's so much fun watching the D'Rats attacking on another all trying to be the king Rat!

It's better than WWE!

Teeniny Billionaire, Psycho Communists, socialists, fake Indians,homo mayors and Kloboshart...

ֳ°ֲֲ₪ֲ£ֳ°ֲֲ˜ֲ‚ֳ°ֲֲ₪ֲ£ֳ°ֲֲ˜ֲ‚ֳ°ֲֲ₪ֲ£ֳ°ֲֲ˜ֲ‚

I love it when Trump wins and hes not even in the room!!!!",5,FALSE,Politician
20,eea6d3f0fb724900add2b660eddec1cc,Why aren't Communist dissidents free now... Its Because They Are Dead now.,5,FALSE,Politician
21,7b70bb1251634f5894a9e02bb6b0e81e,i will fuck every cop's wife,5,FALSE,other
22,d0a7902584a946529dba6ac65efc1d1b,"I want Nancy and Mad Maxine to know, that I will never investigate them ever. I would be to dam afraid I would catch them with their pants down, pass out and suffocate in my own vomit. Just sayin",5,FALSE,Politician
23,03128401b0d54deeae82ba0d16c5fde5,YEAH FUCK MARK ZUCKERBERGֳ°ֲֲ–ֲ•ֳ°ֲֲ–ֲ•ֳ°ֲֲ–ֲ•!!!,5,FALSE,other
24,a14473eaad6441559a15d7628a22f360,"Weֳ¢ֲ€ֲ™ve got to #resist and #standuppatriots before our #freedom is taken away by #corruptdemocrats . #donttreadonme ֳ¢ֲֲ£ֳ¯ֲ¸ֲ This whole COVID-19 is a #plandemic and #communist #takeover. Not discounting it is a real virus, but numbers have been inflated and the #swamprats are controlling Americans through fear.ֳ°ֲֲ˜ֲ¡ Itֳ¢ֲ€ֲ™s time to #rebelagainsttyranny .",5,FALSE,Politician
25,34008d98840c4518bd4df45d9f5f8aab,Donֳ¢ֲ€ֲ™t vote on this stimulus plan it helps the filthy Democrats,5,FALSE,Politician
26,35022c16891e446fb50607523ef30657,"NOW I KNOW WHY YOU Mother FUCKERS ARE SO HATED...... COUNT ME IN. I HATE EVERY FUCKING DIRTY POLITICIAN JEW.
THREE DIRTY JEW BASTARDS FROM CALIFORNIA AND THREE FROM NEW YORK, FUCKING OVER THE PRESIDENT AND THOSE OF US WHO VOTED FOR HIM.",5,FALSE,Jewish
27,9075809bc68347c6b49d6691cc06683a,"Dear Canada, you have the white Obamawhore. Vote him out now!",5,FALSE,Politician
28,a354de637d5349528eceaa6f980511ce,"HILLARY SAYS DEMOCRATS SHOULD STEAL THE ELECTION, DO NOT CONCEDE UNDER ANY CIRCUMSTANCES!! WHY IS THAT BITCH STILL NOT IN PRISON AGAIN??",5,FALSE,Politician
